25-10-2023 17:12:44 INFO       [logger.py:21] Initializing System...
25-10-2023 17:13:13 INFO       [logger.py:19] Initializing System...
25-10-2023 17:15:29 INFO       [logger.py:19] Initializing System...
25-10-2023 17:15:30 INFO       [logger.py:19] Closing System.
25-10-2023 17:15:36 INFO       [logger.py:19] Initializing System...
25-10-2023 17:15:52 INFO       [logger.py:19] Initializing System...
25-10-2023 17:15:56 INFO       [logger.py:19] Closing System.
25-10-2023 17:20:28 INFO       [logger.py:18] Initializing System...
25-10-2023 17:20:35 WARNING    [logger.py:18] Duplicate account creation attempt Tanmay.
25-10-2023 17:20:47 WARNING    [logger.py:18] Invalid Credentials by Tanmay.
25-10-2023 17:20:49 INFO       [logger.py:18] Closing System.
